name,ticker,publication_date,recommendation_type,target_price,publication_price,institution
CREOTECH,CRI,2025-04-14,Kupuj,320.00 zł,222.00 zł,Trigon DM
RELPOL,RLP,2025-04-11,Trzymaj,5.03 zł,5.28 zł,DM BDM
MCI,MCI,2025-04-11,Wycena,42.20 zł,23.90 zł,Noble Securities
QUERCUS,QRS,2025-04-10,Kupuj,11.30 zł,9.68 zł,BM Banku Pekao
BUDIMEX,BDX,2025-04-10,Trzymaj,510.00 zł,550.60 zł,Noble Securities
LPP,LPP,2025-04-10,Kupuj,23 400.00 zł,15 430.00 zł,Trigon DM
IFIRMA,IFI,2025-04-09,Akumuluj,25.40 zł,22.90 zł,Millennium DM
KGHM,KGH,2025-04-07,Sprzedaj,120.00 zł,109.20 zł,DM BOŚ
ATENDE,ATD,2025-04-07,Trzymaj,3.10 zł,2.68 zł,BM Banku Pekao
MARVIPOL,MVP,2025-04-07,Kupuj,8.91 zł,6.68 zł,Ipopema Securities
VOXEL,VOX,2025-04-04,Trzymaj,152.00 zł,139.00 zł,DM BOŚ
DATAWALK,DAT,2025-04-04,Kupuj,80.00 zł,57.60 zł,DM BOŚ
WIRTUALNA,WPL,2025-04-02,Kupuj,108.00 zł,82.00 zł,Trigon DM
KINOPOL,KPL,2025-03-31,Kupuj,25.20 zł,19.20 zł,DM BDM
KRUK,KRU,2025-03-31,Kupuj,511.03 zł,390.40 zł,BM mBank
RYVU,RVU,2025-03-27,Kupuj,59.80 zł,21.70 zł,Noble Securities
ARTIFEX,ART,2025-03-27,Redukuj,16.37 zł,16.95 zł,DM BDM
DINOPL,DNP,2025-03-24,Sprzedaj,358.40 zł,458.90 zł,Noble Securities
EUROCASH,EUR,2025-03-24,Akumuluj,9.90 zł,9.09 zł,Noble Securities
BUDIMEX,BDX,2025-03-18,Sprzedaj,510.00 zł,674.50 zł,Noble Securities
BUDIMEX,BDX,2025-03-18,Sprzedaj,510.00 zł,629.50 zł,Noble Securities
COMP,CMP,2025-03-14,Kupuj,200.30 zł,80.00 zł,DM BOŚ
COMP,CMP,2025-03-14,Kupuj,200.30 zł,177.50 zł,DM BOŚ
RAINBOW,RBW,2025-03-13,Kupuj,196.20 zł,75.00 zł,East Value Research
AGORA,AGO,2025-03-13,Kupuj,13.60 zł,10.90 zł,DM BDM
AGORA,AGO,2025-03-13,Kupuj,13.60 zł,11.04 zł,DM BDM
RAINBOW,RBW,2025-03-13,Kupuj,196.20 zł,129.60 zł,East Value Research
NOVAVISGR,NVG,2025-03-07,Kupuj,2.70 zł,2.24 zł,East Value Research
NOVAVISGR,NVG,2025-03-07,Kupuj,2.70 zł,1.40 zł,East Value Research
LPP,LPP,2025-03-06,Kupuj,23 300.00 zł,15 320.00 zł,Noble Securities
ELEKTROTI,ELT,2025-03-06,Akumuluj,47.70 zł,22.35 zł,DM BDM
HUUUGE,HUG,2025-03-06,Kupuj,25.40 zł,25.00 zł,Noble Securities
ELEKTROTI,ELT,2025-03-06,Akumuluj,47.70 zł,43.80 zł,DM BDM
HUUUGE,HUG,2025-03-06,Kupuj,25.40 zł,18.44 zł,Noble Securities
LPP,LPP,2025-03-06,Kupuj,23 300.00 zł,18 500.00 zł,Noble Securities
AILLERON,ALL,2025-02-28,Kupuj,29.00 zł,25.00 zł,Trigon DM SA
MERCOR,MCR,2025-02-27,Sprzedaj,24.30 zł,26.00 zł,BM PKO BP
PGE,PGE,2025-02-27,Sprzedaj,6.00 zł,6.90 zł,DM BOŚ SA
TORPOL,TOR,2025-02-26,Kupuj,45.10 zł,38.80 zł,DM BDM SA
CLNPHARMA,CLN,2025-02-26,Kupuj,37.50 zł,23.20 zł,Noble Securities DM SA
DADELO,DAD,2025-02-25,Kupuj,31.50 zł,25.40 zł,Trigon DM SA
DADELO,DAD,2025-02-25,Kupuj,31.50 zł,25.10 zł,Trigon DM
SYNEKTIK,SNT,2025-02-20,Kupuj,268.20 zł,228.50 zł,East Value Research GmbH
BUDIMEX,BDX,2025-02-19,Redukuj,510.00 zł,557.00 zł,Noble Securities
TORPOL,TOR,2025-02-17,Trzymaj,39.40 zł,37.70 zł,Noble Securities
XTB,XTB,2025-02-14,Kupuj,81.30 zł,67.50 zł,Noble Securities
SNIEZKA,SKA,2025-02-13,Trzymaj,80.90 zł,84.40 zł,DM BDM
VIGOPHOTN,VGO,2025-02-12,Wycena,500.00 zł,444.00 zł,Ipopema Securities
FORTE,FTE,2025-02-11,Akumuluj,33.80 zł,30.80 zł,Noble Securities
SELENAFM,SEL,2025-02-10,Kupuj,38.90 zł,34.60 zł,DM BDM
CCC,CCC,2025-02-07,Wycena,254.60 zł,188.00 zł,DM BOŚ
XTB,XTB,2025-02-06,Sprzedaj,74.00 zł,65.50 zł,BM mBank
SYNEKTIK,SNT,2025-02-04,Kupuj,275.40 zł,220.00 zł,Trigon DM
PHOTON,PEN,2025-02-03,Wycena,5.36 zł,4.37 zł,Noble Securities
VOXEL,VOX,2025-01-28,Kupuj,152.00 zł,136.00 zł,DM BOŚ
FERRO,FRO,2025-01-27,Wycena,39.50 zł,35.80 zł,DM BOŚ
ASSECOSEE,ASE,2025-01-20,Kupuj,55.00 zł,48.90 zł,DM BOŚ
ANSWEAR,ANR,2025-01-13,Trzymaj,26.80 zł,27.65 zł,Noble Securities
PKNORLEN,PKN,2025-01-13,Kupuj,87.36 zł,50.21 zł,BM mBank
MERCOR,MCR,2025-01-10,Sprzedaj,24.50 zł,26.90 zł,BM Banku Pekao
DIGITANET,DIG,2025-01-07,Wycena,81.00 zł,59.00 zł,DM BOŚ
CYBERFLKS,CBF,2025-01-03,Kupuj,167.20 zł,151.50 zł,BM mBank
ATMGRUPA,ATG,2025-01-03,Kupuj,5.04 zł,4.28 zł,DM BDM
MOSTALZAB,MSZ,2025-01-02,Akumuluj,5.69 zł,5.27 zł,DM BDM
KETY,KTY,2025-01-02,Akumuluj,746.30 zł,694.50 zł,DM BDM
KINOPOL,KPL,2024-12-23,Akumuluj,25.20 zł,21.70 zł,DM BDM
XTPL,XTP,2024-12-23,Kupuj,135.00 zł,94.90 zł,Erste
GRODNO,GRN,2024-12-20,Trzymaj,,8.98 zł,DM BOŚ
UNIBEP,UNI,2024-12-20,Wycena,11.70 zł,6.98 zł,Noble Securities
MIRACULUM,MIR,2024-12-19,Wycena,0.85 zł,0.77 zł,Ipopema Securities
AILLERON,ALL,2024-12-16,Akumuluj,24.00 zł,20.25 zł,Noble Securities
ENTER,ENT,2024-12-13,Kupuj,69.50 zł,54.70 zł,DM BDM
AGORA,AGO,2024-12-13,Kupuj,13.59 zł,8.75 zł,DM BDM
BUDIMEX,BDX,2024-12-12,Kupuj,550.00 zł,463.00 zł,Noble Securities
SONEL,SON,2024-12-12,Wycena,16.60 zł,15.60 zł,Noble Securities
SYNEKTIK,SNT,2024-12-11,Kupuj,225.50 zł,186.20 zł,DM BDM
MARVIPOL,MVP,2024-12-11,Kupuj,8.93 zł,6.30 zł,Ipopema Securities
ENEA,ENA,2024-12-09,Kupuj,14.16 zł,11.34 zł,Trigon DM
PGE,PGE,2024-12-09,Kupuj,7.60 zł,6.20 zł,Trigon DM
TAURONPE,TPE,2024-12-09,Kupuj,4.46 zł,3.37 zł,Trigon DM
MLPGROUP,MLG,2024-12-09,Trzymaj,85.00 zł,79.80 zł,BM PKO BP
RAINBOW,RBW,2024-12-06,Kupuj,200.00 zł,136.20 zł,BM Banku Pekao
MOSTALZAB,MSZ,2024-12-06,Kupuj,6.10 zł,5.18 zł,Millennium DM
ATAL,1AT,2024-12-06,Trzymaj,60.00 zł,52.00 zł,Trigon DM
KETY,KTY,2024-12-03,Kupuj,1 000.00 zł,717.00 zł,Trigon DM
ASBIS,ASB,2024-12-02,Kupuj,34.10 zł,17.50 zł,DM BOŚ
ABPL,ABE,2024-12-02,Kupuj,118.50 zł,90.00 zł,DM BOŚ
ALIOR,ALR,2024-12-02,Kupuj,101.80 zł,92.34 zł,DM BOŚ
ASSECOSEE,ASE,2024-12-02,Kupuj,55.00 zł,48.50 zł,DM BOŚ
MILLENNIUM,MIL,2024-12-02,Kupuj,12.46 zł,8.45 zł,DM BOŚ
BENEFIT,BFT,2024-12-02,Kupuj,3 300.00 zł,2 730.00 zł,DM BOŚ
MBANK,MBK,2024-12-02,Kupuj,724.60 zł,545.00 zł,DM BOŚ
CCC,CCC,2024-12-02,Kupuj,261.10 zł,215.20 zł,DM BOŚ
CYFRPLSAT,CPS,2024-12-02,Kupuj,16.00 zł,14.48 zł,DM BOŚ
CLNPHARMA,CLN,2024-12-02,Kupuj,33.00 zł,27.45 zł,DM BOŚ
COMP,CMP,2024-12-02,Kupuj,149.00 zł,127.50 zł,DM BOŚ
CREEPYJAR,CRJ,2024-12-02,Kupuj,408.00 zł,255.50 zł,DM BOŚ
DECORA,DCR,2024-12-02,Kupuj,79.00 zł,63.00 zł,DM BOŚ
ERBUD,ERB,2024-12-02,Kupuj,39.00 zł,33.80 zł,DM BOŚ
GRUPRACUJ,GPP,2024-12-02,Kupuj,70.00 zł,58.00 zł,DM BOŚ
INTERCARS,CAR,2024-12-02,Kupuj,573.00 zł,505.00 zł,DM BOŚ
KGHM,KGH,2024-12-02,Kupuj,165.00 zł,130.05 zł,DM BOŚ
LPP,LPP,2024-12-02,Kupuj,21 047.00 zł,16 340.00 zł,DM BOŚ
TEXT,TXT,2024-12-02,Kupuj,109.11 zł,64.50 zł,DM BOŚ
MIRBUD,MRB,2024-12-02,Kupuj,14.27 zł,10.72 zł,DM BOŚ
PCCROKITA,PCR,2024-12-02,Kupuj,100.00 zł,73.20 zł,DM BOŚ
PKOBP,PKO,2024-12-02,Kupuj,65.70 zł,57.84 zł,DM BOŚ
PLAYWAY,PLW,2024-12-02,Kupuj,350.00 zł,272.00 zł,DM BOŚ
SELVITA,SLV,2024-12-02,Kupuj,63.30 zł,53.00 zł,DM BOŚ
ASSECOPOL,ACP,2024-12-02,Kupuj,99.00 zł,92.55 zł,DM BOŚ
ORANGEPL,OPL,2024-12-02,Kupuj,9.20 zł,7.72 zł,DM BOŚ
NEUCA,NEU,2024-12-02,Kupuj,1 008.00 zł,780.00 zł,DM BOŚ
UNIMOT,UNT,2024-12-02,Kupuj,190.00 zł,133.60 zł,DM BOŚ
VERCOM,VRC,2024-12-02,Kupuj,136.00 zł,119.50 zł,DM BOŚ
VRG,VRG,2024-12-02,Kupuj,4.00 zł,3.24 zł,DM BOŚ
TOYA,TOA,2024-12-02,Kupuj,10.60 zł,7.65 zł,DM BOŚ
VOXEL,VOX,2024-12-02,Kupuj,131.50 zł,112.50 zł,DM BOŚ
BIGCHEESE,BCS,2024-12-02,Kupuj,28.00 zł,13.00 zł,DM BOŚ
EUROTEL,ETL,2024-12-02,Kupuj,41.60 zł,33.50 zł,DM BOŚ
LSISOFT,LSI,2024-12-02,Kupuj,20.00 zł,16.10 zł,DM BOŚ
POLTREG,PTG,2024-12-02,Kupuj,67.10 zł,44.00 zł,DM BOŚ
ACTION,ACT,2024-12-02,Kupuj,23.10 zł,17.90 zł,DM BOŚ
CDPROJEKT,CDR,2024-12-02,Kupuj,222.90 zł,170.20 zł,Noble Securities
PKNORLEN,PKN,2024-12-02,Kupuj,60.10 zł,51.77 zł,Trigon DM
JSW,JSW,2024-12-02,Sprzedaj,22.00 zł,25.44 zł,DM BOŚ
GRUPAAZOTY,ATT,2024-12-02,Sprzedaj,17.00 zł,19.66 zł,DM BOŚ
LENA,LEN,2024-12-02,Sprzedaj,2.80 zł,3.09 zł,DM BOŚ
ASSECOBS,ABS,2024-12-02,Trzymaj,58.00 zł,52.00 zł,DM BOŚ
ARCTIC,ATC,2024-12-02,Trzymaj,19.20 zł,16.60 zł,DM BOŚ
HANDLOWY,BHW,2024-12-02,Trzymaj,91.70 zł,87.20 zł,DM BOŚ
INGBSK,ING,2024-12-02,Trzymaj,228.00 zł,241.00 zł,DM BOŚ
SANPL,SPL,2024-12-02,Trzymaj,477.90 zł,450.60 zł,DM BOŚ
DINOPL,DNP,2024-12-02,Trzymaj,413.00 zł,391.20 zł,DM BOŚ
DOMDEV,DOM,2024-12-02,Trzymaj,197.83 zł,204.00 zł,DM BOŚ
ECHO,ECH,2024-12-02,Trzymaj,4.50 zł,4.43 zł,DM BOŚ
EUROCASH,EUR,2024-12-02,Trzymaj,11.30 zł,7.87 zł,DM BOŚ
GRENEVIA,GEA,2024-12-02,Trzymaj,2.00 zł,1.92 zł,DM BOŚ
FORTE,FTE,2024-12-02,Trzymaj,24.90 zł,24.20 zł,DM BOŚ
MERCATOR,MRC,2024-12-02,Trzymaj,50.00 zł,49.00 zł,DM BOŚ
PEKAO,PEO,2024-12-02,Trzymaj,142.20 zł,142.90 zł,DM BOŚ
SANOK,SNK,2024-12-02,Trzymaj,23.20 zł,19.84 zł,DM BOŚ
TSGAMES,TEN,2024-12-02,Trzymaj,93.20 zł,78.10 zł,DM BOŚ
FERRO,FRO,2024-12-02,Trzymaj,41.00 zł,35.00 zł,DM BOŚ
MERCOR,MCR,2024-12-02,Trzymaj,33.60 zł,28.60 zł,DM BOŚ
DATAWALK,DAT,2024-12-02,Trzymaj,64.00 zł,46.50 zł,DM BOŚ
VOTUM,VOT,2024-12-02,Trzymaj,48.50 zł,30.95 zł,DM BOŚ
GTC,GTC,2024-12-02,Trzymaj,4.68 zł,4.26 zł,DM BOŚ
KGL,KGL,2024-12-02,Trzymaj,15.00 zł,14.20 zł,DM BOŚ
MANGATA,MGT,2024-12-02,Trzymaj,70.50 zł,74.40 zł,DM BOŚ
CLOUD,CLD,2024-12-02,Trzymaj,70.00 zł,60.00 zł,DM BOŚ
MARVIPOL,MVP,2024-12-02,Trzymaj,7.90 zł,6.26 zł,DM BOŚ
DIGITANET,DIG,2024-12-02,Wycena,81.00 zł,50.00 zł,DM BOŚ
BIOMAXIMA,BMX,2024-12-02,Wycena,20.00 zł,13.25 zł,DM BOŚ
BOWIM,BOW,2024-12-02,Wycena,5.50 zł,4.23 zł,DM BOŚ
SEKO,SEK,2024-12-02,Wycena,15.50 zł,9.90 zł,DM BOŚ
ZABKA,ZAB,2024-11-28,Kupuj,25.10 zł,0.00 zł,Trigon DM SA
CCC,CCC,2024-11-28,Kupuj,270.00 zł,0.00 zł,Trigon DM SA
ZABKA,ZAB,2024-11-26,Kupuj,36.90 zł,0.00 zł,BM mBank
ORANGEPL,OPL,2024-11-25,Akumuluj,8.55 zł,0.00 zł,DM BDM
PEPCO,PCO,2024-11-25,Kupuj,20.68 zł,0.00 zł,Noble Securities
GRUPAAZOTY,ATT,2024-11-20,Sprzedaj,17.00 zł,0.00 zł,DM BOŚ
BUDIMEX,BDX,2024-11-12,Akumuluj,540.00 zł,0.00 zł,Noble Securities
SNTVERSE,SVE,2024-11-06,Kupuj,6.10 zł,0.00 zł,DM BDM
DINOPL,DNP,2024-11-05,Wycena,360.00 zł,0.00 zł,Trigon DM SA
ENTER,ENT,2024-10-29,Kupuj,71.00 zł,59.90 zł,DM BDM SA
ELEKTROTI,ELT,2024-10-28,Akumuluj,36.70 zł,34.70 zł,DM BDM SA
RELPOL,RLP,2024-10-25,Trzymaj,5.16 zł,5.50 zł,DM BDM SA
SKARBIEC,SKH,2024-10-25,Kupuj,32.00 zł,20.90 zł,BM Pekao SA
VOXEL,VOX,2024-10-24,Kupuj,125.20 zł,109.50 zł,DM BOŚ SA
BIOCELTIX,BCX,2024-10-22,Kupuj,129.00 zł,74.40 zł,Trigon DM SA
AILLERON,ALL,2024-10-22,Kupuj,27.00 zł,20.30 zł,Trigon DM SA
SELENAFM,SEL,2024-10-22,Kupuj,50.60 zł,34.10 zł,Trigon DM SA
FABRITY,FAB,2024-10-22,Trzymaj,37.00 zł,33.00 zł,Trigon DM SA
DADELO,DAD,2024-10-22,Kupuj,29.00 zł,21.20 zł,Trigon DM SA
WIRTUALNA,WPL,2024-10-21,Akumuluj,96.20 zł,82.50 zł,DM BDM SA
BLOOBER,BLO,2024-10-18,Kupuj,34.80 zł,25.30 zł,Trigon DM SA
CREEPYJAR,CRJ,2024-10-18,Sprzedaj,374.00 zł,378.50 zł,Trigon DM SA
PLAYWAY,PLW,2024-10-18,Kupuj,366.00 zł,281.00 zł,Trigon DM SA
BUDIMEX,BDX,2024-10-18,Sprzedaj,580.00 zł,591.50 zł,Trigon DM SA
CDPROJEKT,CDR,2024-10-18,Kupuj,190.00 zł,160.45 zł,Trigon DM SA
ARTIFEX,ART,2024-10-18,Trzymaj,22.80 zł,19.00 zł,Trigon DM SA
11BIT,11B,2024-10-18,Kupuj,368.00 zł,270.00 zł,Trigon DM SA
CIGAMES,CIG,2024-10-18,Sprzedaj,1.39 zł,1.60 zł,Trigon DM SA
HUUUGE,HUG,2024-10-18,Kupuj,25.10 zł,16.88 zł,Trigon DM SA
TSGAMES,TEN,2024-10-18,Trzymaj,99.00 zł,86.00 zł,Trigon DM SA
BOWIM,BOW,2024-10-17,Wycena,5.10 zł,4.79 zł,DM BOŚ SA
CYFRPLSAT,CPS,2024-10-16,Kupuj,14.79 zł,12.42 zł,DM BDM SA
11BIT,11B,2024-10-16,Trzymaj,307.00 zł,274.50 zł,DM BOŚ SA
RAEN,RAE,2024-10-15,Wycena,1.30 zł,0.56 zł,East Value Research GmbH
ZEPAK,ZEP,2024-10-15,Trzymaj,17.40 zł,16.66 zł,BM Pekao SA
TORPOL,TOR,2024-10-14,Akumuluj,36.50 zł,33.50 zł,Noble Securities DM SA
BUDIMEX,BDX,2024-10-11,Redukuj,531.10 zł,606.00 zł,DM BDM SA
MLSYSTEM,MLS,2024-10-10,Sprzedaj,31.54 zł,34.85 zł,Ipopema Securities SA
SYGNITY,SGN,2024-10-10,Sprzedaj,39.00 zł,60.00 zł,DM mBanku SA
CAPTORTX,CTX,2024-10-08,Kupuj,127.70 zł,73.00 zł,Noble Securities DM SA
IMS,IMS,2024-10-07,Kupuj,4.50 zł,3.50 zł,Millennium DM SA
UNIMOT,UNT,2024-10-03,Kupuj,180.00 zł,141.60 zł,DM BOŚ SA
ENEA,ENA,2024-10-02,Sprzedaj,9.20 zł,11.25 zł,DM BOŚ SA
TAURON,TPE,2024-10-02,Kupuj,4.22 zł,2.60 zł,DM BOŚ SA
VERCOM,VRC,2024-10-02,Kupuj,136.00 zł,120.50 zł,DM BOŚ SA
CLOUD,CLD,2024-10-01,Trzymaj,70.00 zł,66.00 zł,DM BOŚ SA
DIGITANET,DIG,2024-09-30,Kupuj,70.00 zł,46.40 zł,Trigon DM
11BIT,11B,2024-09-30,Trzymaj,495.00 zł,313.00 zł,DM BOŚ
ARTIFEX,ART,2024-09-30,Akumuluj,26.40 zł,23.20 zł,DM BOŚ
CREEPYJAR,CRJ,2024-09-16,Kupuj,621.00 zł,456.00 zł,DM BDM
DATAWALK,DAT,2024-09-12,Trzymaj,54.00 zł,48.30 zł,DM BOŚ
DINOPL,DNP,2024-09-12,Redukuj,264.60 zł,310.90 zł,Noble Securities
MIRBUD,MRB,2024-09-09,Redukuj,11.30 zł,11.64 zł,DM BDM
BIOTON,BIO,2024-09-06,Wycena,4.32 zł,3.47 zł,Noble Securities
WIRTUALNA,WPL,2024-09-03,Kupuj,122.00 zł,97.90 zł,BM mBank
BUDIMEX,BDX,2024-09-02,Redukuj,552.00 zł,602.00 zł,Noble Securities
DINOPL,DNP,2024-08-30,Kupuj,400.00 zł,324.50 zł,BM mBank
QUERCUS,QRS,2024-08-30,Kupuj,8.60 zł,7.36 zł,BM Banku Pekao
GRUPRACUJ,GPP,2024-08-30,Kupuj,70.00 zł,54.50 zł,DM BOŚ
MARVIPOL,MVP,2024-08-29,Kupuj,9.30 zł,7.20 zł,Ipopema Securities
TORPOL,TOR,2024-08-29,Akumuluj,37.30 zł,33.55 zł,DM BDM
CYFRPLSAT,CPS,2024-08-28,Kupuj,15.60 zł,14.65 zł,BM mBank
ALLEGRO,ALE,2024-08-27,Kupuj,48.90 zł,37.88 zł,BM mBank
VOXEL,VOX,2024-08-26,Kupuj,111.20 zł,96.00 zł,DM BDM
NEUCA,NEU,2024-08-26,Kupuj,1 006.00 zł,880.00 zł,DM BDM
OPONEO.PL,OPN,2024-08-23,Trzymaj,86.00 zł,80.00 zł,BM PKO BP
LPP,LPP,2024-08-22,Kupuj,22 500.00 zł,14 840.00 zł,Noble Securities
ZUE,ZUE,2024-08-22,Trzymaj,11.00 zł,10.80 zł,DM BDM
DECORA,DCR,2024-08-18,Kupuj,66.00 zł,54.40 zł,DM BOŚ
MANGATA,MGT,2024-08-18,Trzymaj,81.20 zł,90.20 zł,DM BOŚ
RAINBOW,RBW,2024-08-14,Kupuj,142.70 zł,96.90 zł,East Value Research
BIOCELTIX,BCX,2024-08-07,Kupuj,106.00 zł,74.60 zł,BM mBank
VOXEL,VOX,2024-08-07,Kupuj,107.70 zł,90.20 zł,DM BOŚ
CDPROJEKT,CDR,2024-08-07,Sprzedaj,130.00 zł,150.45 zł,DM BDM
BIOCELTIX,BCX,2024-08-06,Kupuj,129.80 zł,72.40 zł,Trigon DM
GRODNO,GRN,2024-08-06,Kupuj,12.40 zł,10.40 zł,DM BOŚ
INTERCARS,CAR,2024-08-05,Kupuj,825.70 zł,510.00 zł,Noble Securities
AUTOPARTN,APR,2024-08-05,Kupuj,36.30 zł,21.75 zł,Noble Securities
SEKO,SEK,2024-08-05,Wycena,17.80 zł,9.60 zł,DM BOŚ
ABPL,ABE,2024-07-31,Kupuj,109.90 zł,99.00 zł,DM BOŚ
CDPROJEKT,CDR,2024-07-31,Trzymaj,169.00 zł,155.55 zł,DM BOŚ
ASBIS,ASB,2024-07-31,Kupuj,33.00 zł,21.78 zł,DM BOŚ
GRENEVIA,GEA,2024-07-31,Trzymaj,2.50 zł,2.22 zł,DM BOŚ
PCCROKITA,PCR,2024-07-31,Kupuj,110.00 zł,90.60 zł,DM BOŚ
NOVAVISGR,NVG,2024-07-30,Kupuj,3.29 zł,1.96 zł,Erste
BOOMBIT,BBT,2024-07-26,Kupuj,15.40 zł,10.85 zł,DM BDM
SECOGROUP,SWG,2024-07-25,Trzymaj,30.90 zł,32.00 zł,Erste
CYFRPLSAT,CPS,2024-07-25,Kupuj,14.05 zł,11.72 zł,DM BDM
XTPL,XTP,2024-07-24,Kupuj,152.00 zł,117.60 zł,Erste
MIRBUD,MRB,2024-07-24,Kupuj,20.00 zł,14.22 zł,Trigon DM
CLNPHARMA,CLN,2024-07-22,Kupuj,39.70 zł,26.90 zł,Noble Securities
AILLERON,ALL,2024-07-22,Kupuj,26.00 zł,16.64 zł,Trigon DM
MFO,MFO,2024-07-22,Kupuj,49.70 zł,30.70 zł,Trigon DM
FABRITY,FAB,2024-07-22,Trzymaj,38.00 zł,31.90 zł,Trigon DM
SELENAFM,SEL,2024-07-22,Kupuj,49.00 zł,34.70 zł,Trigon DM
CLNPHARMA,CLN,2024-07-22,Kupuj,45.70 zł,26.90 zł,Trigon DM
TEXT,TXT,2024-07-22,Kupuj,,84.50 zł,DM BOŚ
FERRO,FRO,2024-07-17,Trzymaj,40.00 zł,37.20 zł,DM BOŚ
VINDEXUS,VIN,2024-07-15,Kupuj,22.30 zł,9.58 zł,East Value Research
KINOPOL,KPL,2024-07-15,Kupuj,21.26 zł,17.40 zł,DM BDM
FORTE,FTE,2024-07-12,Trzymaj,23.00 zł,22.20 zł,Noble Securities
AGORA,AGO,2024-07-12,Kupuj,14.60 zł,10.78 zł,DM BDM
SNTVERSE,SVE,2024-07-12,Akumuluj,6.10 zł,5.66 zł,DM BDM
CDPROJEKT,CDR,2024-07-11,Kupuj,186.00 zł,147.65 zł,Trigon DM
MERCOR,MCR,2024-07-10,Trzymaj,25.10 zł,24.30 zł,BM Banku Pekao
LPP,LPP,2024-07-10,Kupuj,24 000.00 zł,17 060.00 zł,BM mBank
OPONEO.PL,OPN,2024-07-08,Redukuj,68.10 zł,72.80 zł,East Value Research
DADELO,DAD,2024-07-04,Kupuj,27.50 zł,21.80 zł,Trigon DM
